Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1596159613.972	    73.080	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA536PTU_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA536PTU_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA536PTU_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA536PTU_ses-1//ls-Lar.stderr
1	:	1596159613.760	    74.528	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA075AMK_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA075AMK_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA075AMK_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA075AMK_ses-1//ls-Lar.stderr
5	:	1596159614.397	    74.757	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAB708LM5_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAB708LM5_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAB708LM5_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAB708LM5_ses-1//ls-Lar.stderr
6	:	1596159614.402	    92.521	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC349YUC_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC349YUC_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC349YUC_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC349YUC_ses-1//ls-Lar.stderr
4	:	1596159614.189	    95.372	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAB458VK9_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAB458VK9_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAB458VK9_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAB458VK9_ses-1//ls-Lar.stderr
9	:	1596159688.287	    55.969	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC495TJ2_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC495TJ2_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC495TJ2_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC495TJ2_ses-1//ls-Lar.stderr
11	:	1596159689.164	    74.217	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC857HDB_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC857HDB_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC857HDB_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC857HDB_ses-1//ls-Lar.stderr
7	:	1596159614.410	   197.593	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC350BZ0_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC350BZ0_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC350BZ0_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC350BZ0_ses-1//ls-Lar.stderr
3	:	1596159613.977	   198.490	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA948VFH_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA948VFH_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA948VFH_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAA948VFH_ses-1//ls-Lar.stderr
8	:	1596159614.416	   202.185	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC350XUM_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC350XUM_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC350XUM_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC350XUM_ses-1//ls-Lar.stderr
